	English	Proto-form	Under	Type
aqva-		aqva-		base
aqvaqur-		aqvaqu3-	aqva-	base
aq’ve-		aqva-		base
aqsaq		aq(0)ya3		base
aqsaquq		aq(0)yaqu3	aq(0)ya3	base
araq		a39a		base
arcake-		a3ca3-		base
arcaqe-		a3ca3-		base
arenqig-		a30nqi!-		base
ari-		a3i(t)-		base
arilluk		a3in		base
arin		a3in		base
arinaq		a3ina3-	a3i-	base
ar’inaq		a33i(t)na3		base
aripa-		a3ipa-		base
ariva-		a3iva-		base
arivlurte-		avi(3)lu3-		base
arivneq		ayu!-		base
arivte-		a3iva-		base
arliaq		a3li(!)aq		base
arliar-		a3li(C)-		base
arnacaluq		a3nacallu3	a3na3	base
arnalquar(aq)		a3nalqu(C)a3	a3na3	base
arnaq		a3na3		base
arnauneq		a3na3un03	a3na3	base
arniqe-		a3niq0-	a3na3	base
arrluk		a(C)a3@u!		base
arrnaq		a3(a3)naq		base
artur-		a3tu3-		base
aru-		a3u-		base
arula-		a3ula-		base
arulair-		a3ula(&)i3-	a3ula-	base
arulate-		a3ulat-	a3ula-	base
aruqe-		a3uq0-		base
arvak		a3va!-		base
arveq		a3v03		base
arvinlegen		a3vin(0)l0!	a3va!	base
arvir-		a3vi3-		base
aryuqe-		a3yuq0-	a3(0)yu-	base
as’arcaraq		at5a3-	at0-	base
asgir-		a9!i3-		base
asgur-		a9!u3-		base
asgurake-		a9!u3a-	a9!u3-	base
asigarnaq		asi!a3naq		base
asigtaq		aci!taq	at(0)-	base
asiite-		asi3-		base
asmegte-		ay0m0!t0-	ay0m0-	base
aspiar-		asi3-		base
asqigte-		asi3-		base
asriq		a!$i(3)-		base
assigtaq		aci!taq	at(0)-	base
assigte-		as(q)i!t0-		base
assike-		asik0-	asi3-	base
assingaq		at(0)-		base
assipaq		at(0)-		base
assipek		at(0)-		base
assir-		asi3-		base
assirneq		aci3n03	at(0)-	base
as’un		at$uq-	at0-	base
asvaite-		ayva-		base
asvair-		ayva-		base
