	English	Proto-form	Under	Type
pet’nge-		m0t&03-		base
petenge-		m0t&03-		base
petug-		p0tu!-		base
peyug-		piyu!-		base
pi-		pi(-)		base
piciatun		piciatun	pici3	base
piciq		pici3		base
piginaq		pi!inaq		base
piineq		pi!in03		base
piir-		piiyaq-	pi(-)	base
piirag-		pi9a!-		base
piirraq		pi39a3-		base
piite-		pi&it-	pi(-)	base
pikaq		pik9a3	pi(-)	base
pike-		pik0-	pi(-)	base
pilag-		pila!-		base
pilagtur-		pila!tu3-	pila!-	base
piluaqar-		pi(t)lu(C)a3-	pi(-)	base
pillugte-		pi@u!-	pi(-)	base
piluguk		pilu!(u!)-		base
pingayun		pi&ayut		base
pingcir-		pimci		base
pinguar-		pi&&u9a3-	pi(-)	base
piniate-		pinni3it-	pinni3-	base
piniqe-		piniq0-	pinni3-	base
pinir-		pinni3-		base
pinqegte-		pinqi!-	pi(-)	base
piqer-		0piqa3-		base
piqertuutaq		0piqa3uta3	0piqa3-	base
piqrutaq		0piqa3uta3	0piqa3-	base
piqrun		0piqa3uta3	0piqa3-	base
pircir-		pi3ci3-	pi3tu3	base
pirlak		pi3la!		base
pirta		pi3tu3		base
pirtuk		pi3tu3		base
pirtuqciraq		pi3tu3ci3a3		base
pisqun		pi9qun	pi(-)	base
pissur-		pisu3-	pi(-)	base
pitaq		pita3	pi(-)	base
pitaqe-		pita3	pi(-)	base
pit’e-	(rise)	pit0-¹	pi(-)	base
pite-		pit0-²	pi(-)	base
pit’e-	(catch game)	pit0-²	pi(-)	base
piteg-		pit0!-		base
pitegcaraq		pit0!ca3-	pit0!-	base
pitegcaun		pit0!ca3-	pit0!-	base
piu-		pi&u-²	pi(-)	base
piug-		piyu!-		base
pivake-		pivak0-	pi(-)	base
pivik		pi9vi!	pi(-)	base
piyaraite-		pi9aq0&it-	pi9aq0(na3)-	base
piyua-		piyu!-		base
pualla		puva@a		base
pucikar-		puci-		base
pugci-		pukcinnaq-		base
puge-		pu!0-		base
pugneq		pu!(0)n03	pu!0-	base
pugta-		pu!ta-	pu!0-	base
pukiq		puki3		base
pukite-		pukit-		base
pukug-		puku!-		base
pula-		pula-		base
pulaar(ar)-		pula(C)a3-	pula-	base
pulengte-		pul0&t0-		base
punerte-		pun03t0-		base
pupik		pupi!		base
pupingqua-		pupi&qu3-		base
pupsug-		pumyu!-		base
pupsulek		pumsul0k	pumyu!-	base
puqiate-		puqi&it-	puqi!-	base
puqig-		puqi!-		base
puqla-		puqla		base
put’e-		put-		base
putu-	(make hole)	putu(-)¹		base
putu	(dance)	putu(-)²		base
putukuq		putuku3		base
puugtuyuli		mu!tu(yu)li(q)		base
puukar-		puvuk(k)a3-	puvu!-	base
puve-		puv0-		base
puveltuk		puv0ltu		base
puvsaq		puvya3		base
puya-		puya-		base
puyuq		puyu3		base
puyuqe-		puyuq0-	puyu3	base
puyuraar(aq)		puyu3naq	puyu3	base
puyurniq		puyu3naq	puyu3	base
puyurnaq		puyu3naq	puyu3	base
qaaryak		qa(C)a3ya3		base
qac’ag-		qac(c)a!-		base
qacagte-		qacu-		base
qacarte-		qaca3-		base
qacelli-		qac0li-		base
qaci-		qat0		base
qacu-		qacu-		base
qagan		qa!an		base
qager-		qa!03-		base
qagingiiq		qa!i&&i3		base
qaglak		qa!la(k)		base
qai-		qa90-		base
qailir-		qa!0li3-	qa!0(3	base
qaillun		qa(y)it0-	qayu(q)	base
qaiq		qa!0(3)		base
qaite-		qa(y)it0-	qayu(q)	base
qaivar-		qa9va3-	qa90-	base
qakegte-		qak5u!aun	qak0-	base
qakerci-		qak03ci-	qak03-	base
qakete-		qak0-		base
qaklite-		qak0-		base
qaki-		qak0(3)-		base
qakiiyaq		qakiiyaq		base
qakite-		qakkit-	qak03	base
qaku		qaku		base
qakurnaq		qaku3na3	qaku3-	base
qakvar-		qa!va3-		base
qalarte		qal03-		base
qaliq		qali3	qa90-	base
qaliqaq		qaliqa3	qa90-	base
qalirneq		qa90li3-	qa90-	base
qaliruaq		qali3u9a3	qa90-	base
qalla(te)-	(boil)	qa@a-¹		base
qallaciq		qa@aci3		base
qallate-	(talk)	qa@a-²		base
qalleq		qa@03		base
qallin		qatlin		base
qalliq		qa9li3	qa90-	base
qalluvak		qa@0vak		base
qalmar-		qalma3-		base
qalqapak		qalqa		base
qalqerayak		qalqa3ayaq		base
qalrir-		qal03-		base
qalru		qal3u		base
qaltaq		qalta3		base
qalu		qalu(-)		base
qalugyaq		qalu!ya3		base
qalun		qallun	qalu(-)	base
qama-		qama-		base
qamangaq		qam0&a3		base
qamauk		qama(C)u!		base
qame-		qam0-		base
qamigar-		qami!a3-		base
qamite-		qamit0-		base
qamte-		qam0t-	qam0-	base
qamur-		qamu3-		base
qamurar-		qamu3a3-	qamu3-	base
qanak		qana!		base
qanemci-		qan0mcu!	qan03(-)	base
qaneq		qan03(-)		base
qaner-		qan03(-)		base
qanganaq		qa&anaq		base
qanganaruaq		qa&ana3uaq	qa&anaq	base
qangiar(aq)		qa&i!a3		base
qanglluk		qa&@u(3)		base
qangqur-		qa&qu3-		base
qangvaq		qa&vaq	qa&a	base
qani-		qani-		base
qanir-		qanni3-	qani!	base
qanitaq		qanit(t)a3	qani-	base
qanli-		qanli-	qan0t-	base
qanrute-		qan3ut0-	qan03(-)	base
qantaq		qanta3		base
qante-		qan0t-		base
qanuk		qani!		base
qapiar-		qapi3-		base
qapila(a)q		qapilaaq		base
qap’ite-		qappit-		base
qapuk		qapu!		base
qaqaq		qaq9a3		base
qaqite-		qaqit0-		base
qaquq		qaqu(3)		base
qara-		qa3a-		base
qaraliq		qa3a		base
qarute-		qa3ut0-		base
qasaq		qasa3-		base
qasar-		qasa3-		base
qasgiq		qa9!i		base
qaskite-		qat0kit-	qat0	base
qaspeq		qasp0q	qa90-	base
qasqite-		qa9qa3		base
qasruliq		qa903ul0!	qa903u(3)	base
qasruq		qa(C)03u(3)		base
qassarte-		qac(c)a!-		base
qastu-		qat0		base
qasuuciaq		qayu3uta3	qayu3	base
qatek		qat0!		base
qater-		qat03-		base
qatli-		qac0li-		base
qatngite-		qat&u3-		base
qatngun		qat0&&un		base
qatviaq		qatviaq		base
qa¥eq		qave!a!		base
qa¥iiq		qave!a!		base
qa¥yaq		qaveya3		base
qaunqe-		qa(C)una!-		base
qauq	(forehead)	qa!u3		base
qauq	(head sore)	qa(C)u3-		base
qauraq		qa!u3		base
qavanguq		qava&uq	qava3-	base
qavar-		qava3-		base
qavarni-		qava3ni-	qava3-	base
qavarvik		qava3vik	qava3-	base
qavcicuaq		qavcicuaq	qatvi!	base
qavcik		qatvi!		base
qavcin		qavcit		base
qavirte-		qavi3-		base
qavlunaq		qavlunaq		base
qavluq		qavlu(3)		base
qavyurte-		qavyu3t0-		base
qayaga-		qaya!-		base
qayagpag-		qaya!-		base
qayaq		qaya3		base
qayartur-		qaya3tu3-	qaya3	base
qayemgu		qay0m!u		base
qayigsaq		qa9i!ya3		base
qayigyar		qa9i!ya3		base
qayumi		qayu(q)		base
qayuq		qayu3		base
qayutun		qayu(q)		base
qayuwa		qayu(q)		base
qecaruaq		q0ca3u(C)a3		base
qeceg-		q0t0!-		base
qecik		q0ci!		base
qeciq		q0ci3(-)		base
qecnge-		q0t0!-		base
qecngerte-		q0t0!-		base
qecug-		q0c(c)u!-		base
qecuqite-		q0cuqit0-		base
qela		q0la-²		base
qelanernarqe-		q0lan03(a3)-	q0la-¹	base
qelapegte-		q0la-¹		base
qelcaq		qa90!-		base
qelcavak		qa90!-		base
qelengllak		q0@0&@ak	q0@0!-	base
qelengte-		q0l0!-		base
qelluq		0qlu		base
qellur-		q0@u3t0-	0q0-¹	base
qelqecir(ar)-		qa3al03-		base
qelquaq		q0lqu9a3		base
qelta		qalt0		base
qelu-		q0lu-		base
qemag-		q0ma!-		base
qemak		q0ma!-		base
qemeryaq		q0m03ya3		base
qemiq	(hill)	q0mi3¹		base
qemiq	(float line)	q0mi3²		base
qemirrluk		q0mi3@u!	q0mi3¹	base
qemite-		q0mit-		base
qena-		q0na-		base
qenarqe-		0q0-²		base
qenercinrraq		q0n03ci3		base
qenerte-		q0n03-		base
qengallek		q0&al0!	q0&a3	base
qengaq		q0&a3		base
qengaraq		q0&a3a3	q0&a3	base
qengaruk		q0&a3$uk	q0&a3	base
qengaryak		q0&a3yak	q0&a3	base
qenguq		q0&u(3)		base
qenu		q0nu		base
qep’ag-		0q0t-	0q0-¹	base
qepyun		q0p0-		base
qep’sun		q0p0-		base
qerar-		0k03a3-		base
qer’aq		0k03a3		base
qerarun		q03a3un	q03a3-	base
qerrarun		q03a3un	q03a3-	base
qercua-		qi30-		base
qercurpak		qakcu3-	qak0(3)-	base
qerkite-		0k03(tu)-		base
qerqaaller(aq)		qaaqtuq-		base
qerqaq		q0t0k		base
qerqauq		qaq9a3		base
qerra-		q03a3-		base
qerratarte-		q03a3-		base
qerraleryug-		qa3al03-		base
qerrircete-		q03i3-		base
qerrircar-		q03i3-		base
qerrler-		q03@03-		base
qerrluk		qaqlu!		base
qerrsig-		qa3ya		base
qerru-		qi3u-		base
qerruarte-		q03u(C)a3te-		base
qerrulliik		qa3u@i!		base
qerruq		qa39u3		base
qerrur-		q03u3-		base
qerruyanarqe-		qi3uya-	qi3u-	base
qerruyaq		qi3uya-	qi3u-	base
qerruyak		qi3uya-	qi3u-	base
qertu-		0k03(tu)-		base
qertuneq		q03tun0q		base
qessa-		0q(0)ya-		base
qessake-		0q(0)yak0-	0q(0)ya-	base
qes’un		0q0t-	0q0-¹	base
qet’e-		0q0t-	0q0-¹	base
qetek		q0t0k		base
qeter-		q0t03		base
qetrar-		qi30t03-	qi30-	base
qerretrar-		qi30t03-	qi30-	base
qetunraq		q0tun3a3		base
qetute-		q0tut-		base
qevler-		q0vl03-		base
qevte-		q0v0(t)-		base
qeya-		qi9a-		base
qeyu-		qiyu(!)(-)		base
qia-		qi9a-		base
qiaq		qi(C)a3		base
qiaryar		qa(C)a3ya3		base
qigcig-		qikci!-	qik0-¹	base
qiguiq		qi!uiq		base
qiilerte-		qi(C)0li3-	qi(C)0t-	base
qiiq		qi903		base
qiive-		qiv0(3)-		base
qikar-		qika3-		base
qikcug(yug)-		qik0-¹		base
qikertaq		qik03ta3		base
qikiq		qika3-		base
qikmiruaq		qikmi(C)u9a3	qikmi3	base
qiku		qiku		base
qilag-		qila!-		base
qilagaq		qila!a3	qila!	base
qilaggluk		qila!@u!	qila!	base
qilagmiutaq		qila!mi(C)uta3	qila!	base
qilak		qila!		base
qilangaq		qila&&a3		base
qillerneq		qi@03n03	qi@03-	base
qillerte-		qi@03-		base
qillerutair-		qi@03uta3i3-	qi@03-	base
qilug-		qilu!-		base
qiluq		qilu		base
qimag-		qima!-		base
qimug-		qimu!-		base
qimugte		qimu!t0	qimu!-	base
qinerte-		qin03-		base
qingaq		qi&&a3-		base
qingirte-		qi&i3-		base
qinike-		qi&i3-		base
qinkiq		qinki(q)		base
qinu-		qinu-		base
qinuite-		qinu(C)it-	qinu-	base
qinurqe-		qinu3a3-	qinu-	base
qip’aq		qip9a3	qip0-	base
qipe-		qip0-		base
qisserte-		qisiq		base
qiste-		qi(C)0t-		base
qitevte-		qit0v0(t)-		base
qitngir-		qit&i3-		base
qiu-		qiyu(!)(-)		base
qiuq	(blueberry)	qiyu(!)(-)		base
qiuq	(rock)	qi!u3		base
qiur-		qi!u3-		base
qiurliq		qiyu(!)(-)		base
qiugliq		qiyu(!)(-)		base
qiuryaq		ki(C)u3ya3		base
qivir-		qivi3-		base
qivru-		qiv3u-		base
qivyuq		qivyu(3)		base
quagciq		quv0!ci(q)		base
quaguk		qu(C)a!9u!		base
quagulek		qu(C)a!9ul0!	qu(C)a!9u!	base
quaq		qu(C)a3		base
quarnaq		qu(C)a3		base
quarruuk		qu!9a3utnaq	qu!9a3-	base
quarta	(anal itch)	qu!a3ta(3)		base
quarta	(cataract in eye)	quv03t0		base
qucak		quca!-		base
qucag-		quca!-		base
qugarruuk		qu!9a3-		base
qugautnaq		qu!9a3utna3	qu!9a3-	base
qugcuaqer-		qu&lu!-		base
qugtuqaq		qu!tuqa3		base
qugyuk		qu!9u!		base
quinag(yug)-		qu!ina!-		base
qukaq		quka3		base
qukaqliq		qukaqliq	quka3-	base
qukir-		quki3-		base
qukvir-		qukvi3-		base
qulair-		qul0&i3-	qul0-	base
qule-		qul0-		base
qulen		qul0(t)	qul0-	base
qulig-		quli!-		base
quliq		quli3	qul0-	base
quliraq		quli3a3-		base
qulliq		qulli3	qul0-	base
qulngunritaraan		qul0&&u3ut0&it-	qul0-	base
qulugte-		qulucuk		base
qulungnaq		quluk		base
qulvar-		qulva3-	qul0-	base
qumaq		quma(3)		base
qumik		qumi!-		base
qungate-		qu&at0-		base
qungcur-		qu&cu3-		base
qunguq		qu&u3(-)		base
qunguturaq		qu&utu3aq		base
qungyar-		qu&ya3-		base
qunik		quni!		base
qunu-		qunu-		base
qupa		quppa3	qup0	base
qupanuar(aq)		qupan(n)u(C)a3		base
qupe-		qup0-		base
qup’luq		qup0@3u3		base
qupneq		qupn03	qup0-	base
qurrasqite-		qurre-		base
qurrasqinarqe-		qu3asqit-		base
qurre-		qu30-		base
qurrlugtaq  		qu3lu3ta3	qu3lu3-	base
qurrlur-		qu3lu3- 		base
qurrmar- 		qu3(03)ma3-	qu30-	base
qurrsuun		qu30-		base
qurrun		qu3un 	qu30-	base
quser- 		quy03-		base
qusngiq 		quy&iq		base
quyngiq		quy&iq		base
qusuuq		quyuuq 		base
qusva(yug)- 		quvya(yu!)-		base
quta		qut0		base
qutug-		qutu!-		base
qutuk		qutu(!)		base
quya-		quya-		base
quyana		quyana3	quya-	base
quu-		qu9u-		base
quuk		0q9u!-		base
quuleq		qu!0@03-		base
quuleciraq		qu!0@03-		base
quulerte-		qu!0@03-		base
quumig-		qu9umi!-	qu9u-	base
quunaq		qu!0@03-		base
quuneq		qu!(0)n0q		base
quuruq		qu9uqu3	qu9u-	base
quutaar-		qu9u-		base
quuyurni-		qu&uyu!-		base
quve-		quv0-		base
quverta		quv03t0		base
quyig-		qul9i!-	qul0-	base
sarsa-		ca3sa(q)		base
carca-		ca3sa(q)		base
segg’ar-		0s!a3(a3)-	090	base
suugi-		0su!-		base
suyute-		cu9(9)u-		base
cuyute-		cu9(9)u-		base
taamlek		ta(a)mlek		base
taangaq		taa&aq		base
taarri-		taa(3a)3i-		base
taavtaaq		ta(a)vtaaq		base
tavtaaq		ta(a)vtaaq		base
taayug(yug)-		tayu(!)-		base
tacellgaq		tat0@!a3		base
tacestu-		tat0		base
taciq		taci3		base
tagci-		ta!ci-	ta!0-	base
tagtaq		ta!ci-	ta!0-	base
tage-		ta!0-		base
tai-		ta!i-		base
taima		ta9im(m)a		base
taiq		ta90!-		base
taituk		ta!0tu!		base
taivkar-		taivka3-		base
takaneq		taka3-¹		base
takar-		taka3-²		base
take-		tak0-		base
taklar-		takla3-	tak0-	base
takli-		tak0li- 	tak0-	base
taku		takku	taku-	base
taku-		taku-		base
takumcu(yug)-		takumcu!- 	taku-	base
takuyar-		takuya3- 	taku-	base
takvik		takvi!-		base
talaariq		talaa3´		base
talineq		talin0q 	talu	base
talirneq		tali3- 	talu	base
talite-		talit- 	talu	base
tallegte-		ca@i!-¹		base
talliman		ta@@imat		base
talliq		ta@i3		base
talliquq		ta@iqu3 	ta@i3	base
tallirpik		ta@i3pi!	ta@i3	base
tallur(yug)-		ta@u3-		base
talu		talu		base
talur-		talu3-		base
talu-		talu3-		base
talurte-		tali3- 	talu	base
taluyaq		taluya3		base
tamalkur-		tama3-		base
tamar-	(all)	tama3-		base
tamar-	(lose, be lost)	tamma3-		base
tamiini		tama&ani 	tama3-	base
tamlag-		talma!-		base
tamlu		tamlu		base
tamlurun		tamlu3un	tamlu	base
tamu-		tamu3-		base
tane-		tan0!-		base
tanegte-		tan0!-		base
tanem		tan0m		base
tangeq		ta&03		base
tan’geq		ta303n03 	ta303(-)	base
tan’ger-		ta303n03	ta303(-)	base
tan’gerliq		ta303n03	ta303(-)	base
tangerr-		ta&03-		base
tangevkayak		ta&03		base
tangluq		ta&lu3		base
tan’gurraq		tan!u3aq		base
tangviarrluk		ta&03		base
tanqig-		tanqi3		base
tanukar-		tan0!-		base
tapeq		tap03(-)		base
taperrnaq		tap(0)3a3naq 	tap3a3¹	base
tapete-		tap0t-¹ 	tap03(-)	base
tapraq	(rope)	tap3a3¹		base
tapraq	(spit of land)	tap3a3²		base
taqe-		taq0-		base
taqeq		taqa3		base
taqmak		taqmak		base
taqte-		taq0-		base
taqmigte-		taq0-		base
taquaq		taqu(C)a3		base
taqukaq		taqukaq		base
taquq		taquq		base
tarenraq		ta3(0)n03		base
tarnaq		ta30n0q		base
tarneq		ta3(0)n03		base
tarperaq		pa3t03a3 	pa3t0	base
tarranqegte-		ta3a3-		base
tarrarte-		ta3a3-		base
tarrite-		ta3a3-		base
tartuq		ta3tu		base
taru		ta3u		base
taryaqvak		ta3yaqva!		base
taryuq		ta3(0)yu3		base
tass’uqe-		tatyu3-		base
tastur-		tat(0)tu3- 	tat0-	base
tatame-		tatam0(t)-		base
tatangquq		nata&qu3		base
tatek		tat0k		base
tatkik		tat0k0	tat0-	base
ta¥a		ta9va		base
ta¥ken		ta!wak´n 	ta9va	base
tavci		tavci		base
tayarneq		taya3n03		base
tayima		ta9im(m)a		base
taima		ta9im(m)a		base
tegak		t0!!a!		base
teggalquq		t0!alquq		base
tegalquq		t0!alquq		base
tegge-		t0!0!-		base
tegg’i-		t0!0!-		base
tegleg-		t0!@0!-		base
tegu-		t0!u-		base
teguaq		t0!u9a3 	t0!u-	base
tegumiaq		t0!um(m)i(C)a3 	t0!u-	base
tegun		t0!!un 	t0!u-	base
tek’ar-		t0(k)ka3- 	t0!u-	base
tekeq		t0k03		base
tekiq		t0k90(3)		base
tekite-		t0kit-		base
teki(y)ute-		t0ki9ut0-	t0kit-	base
tellumrun		p0@u!-		base
temci(ke)-		t0mci-		base
teme-		t0m0-		base
tem’iq		t0m(m)i3-		base
tem’irte-		t0m(m)i3-		base
temli-		0t0mli-		base
tengak		t0&a!		base
tengayuk		t0&ayu!	t0&a!	base
tenge-		t0&0-	t0&0-	base
tengelraq		t0&0@3a3 	t0&0-	base
tengluk		t0&lu!(-)		base
tengmiaq		t0&mi(C)a3 	t0&0-	base
tengru-		t0&3u-		base
tengte-		t0&0t-	 t0&0-	base
tenguk		t0&u!		base
tenguqe-		t0&uq0-		base
tepa		t0p0		base
tep’aq		t0p9a3 	t0p0-	base
tepe-		t0p0-		base
tepli-		t0pli		base
teptukuyuq		t0ptukuyaq 	t0p0	base
teq		0t03		base
teqiyaar(aq)		t0kiyaq		base
teqirayuli		t0kiyaq		base
teqsuqaq		teqsuqaq 	0t03	base
teq’uq		0t0qu3- 	t03i!	base
teriaq		t03i!a3 	t03i!	base
teriir-		t03i(C)a3- 	t03i!	base
terikaniaq		t03ikanni(C)a3 	t03i!	base
terlak		0t03la!	t03i!	base
tertuli		0t03tuli(q) 	t03i!	base
teru		t03u		base
teruluk		t03u		base
teruvailitaq		t03u		base
teve-		0t0v0-		base
tevir-		t0vi3-		base
tevuq		t0vu(q)		base
tevvaar-		t0vvu!-		base
tevyaraq		0t0vya3a3 	 0t0v0-	base
tua-i		ta9va		base
tuar		ta9va		base
tuaten		ta!wat0n 	ta9va	base
tuatna-		ta!wat0n 	ta9va	base
tuavte-		tu(C)av0(t)-		base
tugeq		tu!03(-)		base
tuger-		tu!03(-)		base
tugkar(aq)		tu!0ka3(a3) 	tu!03(-)	base
tukaate-		tuka(3)-		base
tukar-		tukka3-		base
tuker-		tuk03-		base
tukni-		tukni!-		base
tukullek		tuku(q)		base
tukuq		tukku(3)		base
tulag-		tula!-		base
tuliik		tu9i!		base
tulimaq		tulima3		base
tulukaruk		tulika3		base
tuluq		tulu3-		base
tulur-		tulu3-		base
tuluryaaq		tulu3ya3 	tulu3-	base
tuma		tum0		base
tumag-		tuma!-		base
tumagliq		tuma!-		base
tumak		0t0ma!		base
tumarte-		tuma3-		base
tum’arte-		tum9a3- 	tum0	base
tumci-		tum0ci- 	tum0	base
tumnaq		tum0na3		base
tune-		tun0-		base
tunertu-		tun03-		base
tungcirtur-		tu&ci3-		base
tunge-		tu&0-		base
tungeq		tu&03		base
tungliq		tu&(0)li3 	tu&0-	base
tungmarte-		tu&va3-		base
tungu-		tu&u-		base
tungyur		tu&yuq		base
tuntu		tuntu		base
tunturyuk		tuntu39u! 	tuntu	base
tuntuvak		tuntuva! 	tuntu	base
tunu-		tunu		base
tunucuk		tunucu! 	tunu	base
tunullek		tu(u)tl0!		base
tunuq		tunnu3		base
tunute-		tunut-	tunu	base
tunuvar-		tunuva3- 	tunu	base
tupag-		tupa!-		base
tupig-		tupi3-		base
tupirtaarute-		tupi3-		base
tup(e)ke-		tup0k0-		base
tuqluq		tuqlu(!)		base
tuqlur-		tuqlu3- 	tuqlu(!)	base
tuqmik		tuqmik		base
tuqu-		tuqu(-)		base
tuqunarqe-		tuquna3- 	tuqu(-)	base
tuqute-		tuqut- 	tuqu(-)	base
turquq		tuqlu(!)		base
turtuqaq		tuqlu(!)		base
tusek		tuy0		base
tusnga-		tut&a-	tut-	base
tuss’araq		tutya3(a3)	tut-	base
tussite-		tutya!at-		base
tus’un		tut-		base
tut’e-	(arrive)	tut-		base
tut’e- 	(step on)	tut0-		base
tuteg-		tut0!(-)		base
tutemqaq		tutm0qa3 	tut0-	base
tutmar-		tutma3- 	tut0-	base
tutsaraq		tutya3(a3)	tut0-	base
tuullek		tu(u)tl0!		base
tuunraq		tu!0n3a3		base
tuunri-		tu!0n3i- 	tu!0n3a3	base
tuusiik		tu9i!		base
tuuskayar-		tucila3-		base
tuutaq		tu(C)uta3		base
tuvqa-		tuve3a3		base
tuvte-		tup0t-		base
tuyek	(snipe)	tu9i!		base
tuyek	(shoulder)	tuy0		base
tuyur-		tuyu3-		base
uakner		u!akna3		base
uame-		u9a(t)-		base
uan		u!an		base
uaqliq		u!al(l)i3	u!an	base
uaqnaq		u!akna3		base
uassiaq		u(!)a(t)saq	u!an	base
uci		uci		base
uciar-		uci(C)a3- 	uci	base
uciir-		uci&i3- 	uci	base
ucluryaq		ul0(t)luya3		base
ucuk		ucu!		base
ucuqe-		ucu3-		base
¥asqite-		qu3a(yaqit)-		base
¥ayar-		ivaya3-	iva3-	base
uginaq		u!inaq		base
ugtaq		u!taq	u!0t-	base
ugte-		u!0t-		base
uguguaq		u!u!uaq 	u!9u!	base
ugugnaraq		u!9u!na3 	u!9u!	base
uicungaq		uicu&aq		base
ui		u!i		base
uig-		u90!-		base
uigtua-		u90!tu3- 	u90!-	base
uilgaq		u!il!a3- 	u!i	base
uiluq		uvilu3		base
uinge-		u!in0!- 	u!i	base
uinguaq		u!i&(&)u9a3 	u!i	base
uingusaq		u!i&(&)u9a3 	u!i	base
uirrani-		u!i3ani-	u!i3(a3)-	base
uirre-		u!i3-		base
uita-		uvita-	uvi(t)-	base
uite-		uvi(t)-		base
uiteraq		ivit03a3		base
uivaar-		uyiv9a3-	uyiv0-	base
uivaq		uyivva3 	uyiv0-	base
uive-		uyiv0-		base
ukamar-		ukama3-		base
ukasiruaq		uka9i3u9a3 	uka9i3	base
uki-		uki-²		base
ukisqaq		ukiy(0)qaq		base
ukisqir-		ukiy(0)qaq		base
ukite-		ukit- 	uki-²	base
ukli-		u!ukli-	u!u-	base
uklir-		u!ukli-	u!u-	base
uksi-		ukyi-		base
uksuaq		ukyu3a3	ukyu3	base
uksuq		ukyu3		base
ukurraq		uku3a3		base
ukveqe-		ukv0q0- 	ukv03-	base
ukver-		ukv03-		base
ula		ul0(-)		base
ulakitaar-		ulakitaa3-		base
ulapeqe-		ulap0(t)-		base
ulariq		ula3iq		base
uleve-		ul0v0-	ul0(-)	base
ulevlar-		ul0vla3-	ul0(-)	base
uliiq		ula!aq		base
ulik		uli!(-)		base
uliun		uli(C)un		base
ullag-		utla!-		base
ulligte-		u@i3-		base
ullirte-		u@i3-		base
ulluvak		u@u!a!		base
ull’uyaq		ul0(t)luya3		base
ulmirte-		ulmi3t0-		base
ulpiarte-		ulp0!-²		base
ulruk		ul3uk		base
ulte-		ul0t-		base
ulu		ulu(q)		base
uluaq		ulu(3)		base
uluar-		ulu3a3-		base
ulug-		ulu!-		base
ulur-		ulu3-		base
ulurya(yug)-		ulu3ya-		base
uluryanar-		ulu3yana3-	ulu3ya-	base
ulute-		ulut0- 	ul0(-)	base
umci-		umci!- 	um0!-	base
umcig-		umci!- 	um0!-	base
ume-		umyu!aq		base
umeg-		um0!-		base
umek		um0!-		base
umi-		umi-		base
umiqsig-		umi-		base
umiqvanek		umi-		base
umte-		um0!-		base
umyu(g)aq		umyu!$aq		base
umyu(g)aqe-		umyu!$aq		base
umyu(g)artur-		umyu!$aq		base
umyugaite-		umyu!a3it0- 	umyu!$aq	base
umyuarite-		umyu!a3it0- 	umyu!$aq	base
una-		una-¹		base
unair-		una3i3-		base
unake-		unak0-	una-¹	base
unaliq		unali3		base
unange-		una&0- 	una-¹	base
unarciar-		una3ci3-		base
unasmiur-		una9mi-		base
unatar-		unata3-		base
unegte-		un0!-		base
uneq		un03		base
unga-		u&a-		base
ungag(u)aq		u&a!$aq		base
ungaggaq		u&a!$aq		base
ungair-		u&a&i3-	u&ak	base
ungak		u&ak		base
ungalaq		u&ala3	u&an	base
ungi-		u&i-		base
unguir-		u&umma3- 	u&uma-	base
ungungsiq		u&u&siq		base
unguva-		u&uma-		base
unguvan		u&uman 	u&uma-	base
ungilag-		u&ila!-		base
unglu		u&lu		base
ungpaar(aq)		u&p0!		base
ungpek		u&p0!		base
ungu-		u&u-		base
unguir-		u&u(C)i3- 	u&uma-	base
unite-		unit-		base
uniurte-		uni(C)u3-		base
univkaraq		univka3a3		base
unraq		un3a3		base
unuaq		unnu(C)a3 	unnu!	base
unuaqu		unnu3aqu		base
unuk		unnu!		base
upag-		upa!-		base
upete-		up0t-		base
up’nerkaq		up0n(0)3ak9a3 	up0n(0)3a3	base
uqamairi-		uqima&i3-		base
uqamaite-		uqima&it-		base
uqamaq		uqima&it-		base
uqeq		uq03		base
uqer-		uq03-		base
uqiggete-		uqi!it-		base
uqgete-		uqi!it-		base
uqigli-		uqi!itli-	uqi!it-	base
uqiggeli-		uqi!itli-	uqi!it-	base
uqila-		uqila-		base
uqilngu-		uq9il&u- 	uq9u3	base
uqite-		uqqit-		base
uqlir-		uqli3-		base
uqrun		uq03uta3 	uq9u3	base
uqsuq		uqsuq		base
uquaq		uq9u3a3	uq9u3	base
uquggluk		uqu!		base
uquir(aq)		uquiq		base
uqumyak		uq9umya! 	uq9u3	base
uquq		uq9u3		base
uqurte-		uq9u3- 	uq9u3	base
uqvik		uqvi!		base
uraruq		u3a3uq		base
ure-		u30-		base
urluveq		u3luv0q		base
urnir-		u3ni3-		base
urr’aq		u33a3		base
urrasquq		u33a3		base
urug-		u3u!-	u30-	base
uruq-		u39u3		base
uryur-		u3yu3-		base
usaaq		uya(C)aq		base
usgu		uy!u-		base
uskuq		uyukku3(a3)		base
uskurtuliaraq		uyukka3(a3)		base
usper-		usp03-	u90!-	base
usruq		uyu3u(3)		base
ussneq		usn0q	uyt0-	base
ussukcaq		usn0q	uyt0-	base
ucukcaq		ucukcaq		base
uste-		uyt0-		base
usvi		uyvi		base
usvitu-		uyvi		base
usviite-		uyvi&it0- 	uyvi	base
utakinaq		utakinaq		base
utaqa-		utaq0-		base
utengqa-		ut0&qa-	ut03-	base
uterte-		ut03-		base
utetmun		ut0tmun	ut03-	base
utnguk		ut&u3		base
utqiq		ulqi3		base
utuqa-		utuqqa3		base
utvak		ut0vak		base
uu-		u!u-		base
