Akuzipik	English	Proto-form	Under	Type
iigha		a9!a(3)		base
iigha		a9!a!		base
iighaq 	glove	a9!a(C)a3	a9!a(3)	base
iighaq 	swollen gland	0903a(3)		base
iighhaq		aya3a3a3		base
iighhwaange-		i(C)i3-		base
iighhwe-		ni9u3-		base
iighwigh-		0&lu(3)-		base
iighwite		0&lu(3)-		base
iike-		ik0-		base
ikugh-		ik0-		base
iikw		i$uk		base
iilngiq		il&i3		base
iilqe-		ilut0q0-	ilu	base
iilquq		il0quq		base
iingqaghyagh-		i&ilqa3		base
iingqaq		i&ki3		base
iingqiq		i&qi3		base
iingtaq		i&t0-		base
iingunagh-		0lu(3)-		base
iinqe-		in0q0-		base
iinqun		in0qun	in0q0-	base
iipgite-		ip!it-	ip0!-	base
iiqmig-		iqmi!-		base
iiskughte-		090k0-	090	base
iisqughte-		090k0-	090	base
iivghusiq		iv3uciq	iv03-	base
iiyaq		iiyaq		base
ikayugh-		ikayu3-		base
ikfiqe-		ikvi!-		base
ikigh-		iki3-		base
ikngaqe-		iknaq0-		base
ikute-		ik0-		base
ikuyek		ikuy0!		base
ila		ila(-)¹		base
ilaaq		ila(C)a3	ila(-)¹	base
ilaagh-		ila(C)a3	ila(-)¹	base
ilagagh-		ila!a3-	ila(-)¹	base
ilake-		ilak0-	ila(-)¹	base
ilaliigh-		ilali(C)u3-	ila(-)¹	base
ilangani		ila&a(t)ni	ila(-)¹	base
ilangquq		nila!		base
ilate-		ilat0-	ila(-)¹	base
ileme-		it0m0-		base
ilu		ilu		base
ilughaq		illu3(a3)		base
ilulighaq		ilul(l)i3a3	ilu	base
iluliq		ilulli3	ilu	base
ilulighneq		ilulli3	ilu	base
ilumik		ilumi!	ilu	base
ilupeghaq		ilup03(a3)	ilu	base
ima		imam		base
imaghniitet		ima3nin	ima(3)	base
imanaq		iman03		base
imange-		iman0!-	ima(3)	base
imaq		ima(3)		base
imatuq		im(m)atu3	imma	base
ime-		im0(!)-		base
imeg-		im0!-		base
imigh-		immi3-	ima(3)	base
imlaa		imla(C)u(!)		base
imtuqaq		imtuqa3		base
imugh(yug)		im9u3-		base
ineghte-		in03-		base
inek		in0k		base
ineqsunagh-		in0qyuna3-	in0q0-	base
ingagh-		i&&a3-		base
ingan		i&an		base
ingata		i&an		base
ingani		i&a(va)-		base
ingaliq		i&a(va)-		base
ingleghat		i&l03aq	i&l03	base
ingleq		i&l03		base
inglu		i&lu		base
ingun		i&un	i&0t-	base
inguta		i&un	i&0t-	base
ingutuq		i&utu3		base
ingyaghaghte-		i&ya3-		base
ini-		ini-		base
ipeg-		ip0!-		base
ipegsagh-		ip0!ca3-	ip0!-	base
ipigtu-		ipi(!)		base
ipug-		ipu!-		base
ipugte-		ipu!-		base
ipugutaq		ipu!un	ipu!-	base
iqa	corner of mouth	iq0(3)		base
iqa 	dirt	iqa(3)		base
iqallugaq		iqa@u!a3	iqa@u!	base
iqalluk		iqa@u!		base
iqallupik		iqa@u!pi!	iqa@u!	base
iqangigh-		iqa&i3-	iqa(3)	base
iqeghta		iqa3t0		base
iqelquq		iq0lqu3		base
iqenge-		iq0(3)		base
iqetu-		iq0-		base
iqlengagh-		iqlu&a3-	iqlu-	base
iqlengiqe-		iqlu&a3-	iqlu-	base
iqlighayiilliqe-		iqli3		base
iqlumghu-		iqlu-		base
iqrag-		iqlak-		base
iqregaghte-		iq(0)$0-		base
iqrek		Iq50k		base
iqsak		iqlak		base
iqu-		iqu-		base
iquk		iqqu3		base
iqunight(e)		iqu-		base
isavghaq		icav3a3		base
isekinagh-		it90		base
isigima		ici!wa		base
itagnagh-		ita!-		base
itagnaghyug-		ita!-		base
itake-		ita!-		base
itegaq		it0!a3	it0!	base
itegh-		it03-		base
iteghagh-		it03a3-	it03-	base
itegmig-		it0!mi!-	it0!	base
itek		it0!		base
iteme-		it0m0-		base
itemte-		it0m0-		base
itghute-		it3ut0-	it03-	base
ituk		itu!		base
ivagh-		iva3-		base
ivaghutaq		iva3un		base
ivalu		ivalu		base
ivegh-		iv03-		base
ivgagh-		i!va3-		base
ivghaagh-		iv3a3-	iv03-	base
ivilu		uvilu3		base
iya		090		base
iyamsiqa-		i!a-		base
iyaq		i!aq		base
iyarutaagh-		ni!09u3-		base
iyarutaaq		ni!09u3un	ni!09u3-	base
iyegaatek		09(0)!a(3)	090	base
iyeksak		a9!a3u9a3		base
iyelluk		0d0@u!-	090	base
kaagkaq		kaka&ca3		base
kaagusiq		ka9(9)u!un	ka9u!-	base
kaakaa		kaa(kaa)		base
kaalgugh-		kal0!-¹		base
kaangquq		ka&quq	ka&03	base
kaangu		ka&u3		base
kaapute-		kapput0-	kap0-	base
kaate-		kat0-		base
kaatute-		kat0-		base
kaavlak		kavla!		base
kaaw-		ka9u!-		base
kafsak		kavcak		base
kaftekrak		kavcak		base
kaga-		ka!a-		base
kagime-		ka!im0-		base
kagpesqwaaq		kap0t-		base
kagpestaaq		kap0t-		base
kagpesug-		kap0!cu!-		base
kagsagte-		kakya!-		base
kagtagh-		ka!ta3-		base
kagu-		ka!u-		base
kakave-		kakav0-		base
kakeglluk		kakki!		base
kakegte-		kak0!t0-	kakki!	base
kakek		kaka!-		base
kaki-		kaki-		base
kakiiq		kaki(C)a3	kaki-	base
kaleve-		kal0v0(t)-		base
kallagtaak		ka@a!-		base
kallagte-		ka@a!-		base
kalluk		katlu!		base
kalngak		kal&ak		base
kalngugh-		kat&u3-	kat0-	base
kalngughnga-		kat&u3-	kat0-	base
kamek		kam0!		base
kanagaq		kana!		base
kanagh-		kana3-		base
kanagha-		kana3-		base
kaneq		kan03		base
kanegh-		kan03		base
kangighaq		ka&i3a3	ka&i3	base
kangiq		ka&i3		base
kangiqliq		ka&illi3	ka&i3	base
kanglu-		ka&lu-		base
kangllu-		ka&lu-		base
kanivaan		kaniva3un		base
kanuk		kanu!		base
kanuya		kannuya3		base
kape-		kap0-		base
kapeghte-		kap03t0-	kap0-	base
kapugh-		kapu3-	kap0-	base
kasima-		kat0ma-	kat0-	base
kaspugte-		kaspu!t0-		base
katag-		kata!-		base
kavighruk		kavi3-		base
kavitaraak		kavi3-		base
kaviiq		kav(v)i(C)a3	kavi3-	base
kavite-		kavi3-		base
kayaaq		kay(y)u(C)a3	kayu-	base
kayagte-		kaya(!)-		base
kayaghqagh-		kaya(!)-		base
kayeme-		kay0m0(t)-		base
kayngu(yug)-		kay&u-		base
kayu		kayu		base
kayu-		kayu-		base
kayun		kayun	kayu-	base
kazive-		ka90v0(t)-		base
keka		aka(a)		base
kelag-		k0la!-		base
keleg-		k0l0!-		base
kelenga-		k0l0!-		base
kelenga-		k0l0t-		base
kelevagh-		k0luva3-	k0lu	base
keleve-		k0l0(t)-		base
kelig-		k0li!-		base
keligagh-		k0li!a3-	k0li!-	base
kelli(yug)-		0kli-		base
kellii		k0tli3	k0t0-	base
kelu		k0lu		base
keluk		k0lu!		base
kemagluk		k0ma!lu!		base
kemagnaq		k0ma!naq		base
kemek		k0m0!		base
kemgite-		k0m0!it-	k0m0!	base
kemkelleghaq		kumka3		base
kenegte-		t0nu-		base
keneq		0k0n0qk(0)n03	0k0-¹	base
kenigh-		t0nni3-		base
keniq		k0ni3		base
kenite-		k0nit-	k0ni-	base
kenla		k0nl0		base
kenle-		k0nl0		base
kenluq		k0nlu3		base
kenlughmun		k0nlu3		base
kenu-		t0nu-		base
kepe-		k0p0-		base
kepkagh-		k0p(0)ka3-		base
kepliigh-		k0pli3-	k0p0-	base
kepsugh-		k0p0t-¹		base
keste-		k0cit-		base
kete-		k0t0-		base
ketfagh-		k0tva3-	k0t0-	base
ketngik		kitmi!		base
keveg-		k0v0!-		base
kevgaq		k0v!a3		base
kevigh-		k0vi3-		base
kezeghhagh-		k09i-		base
kezemaq		k09im(3)a3	k09i-	base
kii	gee oh	ki(i)		base
kii	cut, wound	0ki		base
kiighaghtagh-		ki99i3-	ki9a!(-)	base
kiighte-		0ki9a3-		base
kiighwyaq		ki(C)u3ya3		base
kiik		ki9a!(-)		base
kiikw		ku90!		base
kiimsigh-		ki(C)u-		base
kiiq		0ki9a3	0ki9a3-	base
kiighmik		0ki9a3	0ki9a3-	base
kiitmik		kit&i!		base
kiive-		kiv0-		base
kiksak		k0kya!		base
kilgaa		kil!aq		base
kiligh-		kili3-		base
kiliq		killi3	kili3-	base
kina		ki(na)		base
kinegh-		kin03-		base
kineghtaq		kin03taq	kin03-	base
kingu-		ki&u-		base
kinguk		ki&u!		base
kinguliq		ki&ul(l)i3	ki&u-	base
kingulighpigaq		ki&ul(l)i3	ki&u-	base
kinguneq		ki&un03	ki&u-	base
kinguvaqwaaqun		ki&uva3-	ki&u-	base
kipullegte-		kipu@0!-	kiput-	base
kitu-		kitu	ki(na)	base
kitugh-		kitu3-		base
kiyaghte-		kiya3-		base
kiyaghute-		kiya3-		base
kukegte-		kuk0!		base
kukikrak		kuki!		base
kukrak		kuk9a!-		base
kukumyalqi-		kukumya3-		base
kukupak		kuku!		base
kumagh-		0kuma-	0k0-¹	base
kumak		kuma!		base
kumakigh-		kumaki3-	kuma!	base
kumeg-		kum0!-		base
kumkelleghaq		kumka3		base
kumkiili-		kumka(C)ili-	kumka3	base
kumkiilisiq		kumka(C)ili-	kumka3	base
kumlama-		kumla-		base
kumlate-		kumla-		base
kumlu		kumlu		base
kunakaq		kun(n)aq		base
kusukaq		kucuka3		base
kuumgun		kum!un	kum0!-	base
kuusneq		ku9uccin03	ku9ucci3	base
kuutu-		ku(C)u(!)-		base
kuutughmete-		ku(C)u(!)-		base
kuuve-		kuv0-		base
kuuvraq		kuv9a3		base
kuuvragh-		kuv9a3		base
kuyak		kuya!		base
kuyapegaq		kuyap0!a3		base
kuynga		kui&iq		base
laag-		0la!-		base
laakaq		0lakaq	0la!-	base
laalighte-		0lali3-		base
laalmik		nalmi!		base
leghlleq		n03l03		base
lengaaq		(0)@0&a9a3		base
leq		n0l03		base
legh-		n0l03		base
levekluk		(0)@0&a9a3		base
liighqe-		0li3q0-		base
liiqneq		0li3q0-		base
liisagh-		0lica3-	0lit-	base
liisimake-		0licima-	0lit-	base
liite-		0lit-		base
linggha(yug)-		0li3a-		base
lipeghsagh-		t0li-		base
lli-		0@i-		base
lliigh-		0@i3-	0@i-	base
llivelghak		0@(@)ivi!	0@i-	base
lliveq		0@iv03	0@i-	base
lluu-		0tlu(3)-		base
lluu(q)		0tlu(3)-		base
ma		0m0		base
maame-		mam0-		base
maamsa		mamca(3)		base
maaqe-		maq0-		base
maaqute-		maq0-		base
maaten		ma90t0n		base
